date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily
2021-03-12,64514,0.0607441568798779,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,115.0,102.57142857142857,105.35714285714286,0.03012912482065988,-0.018629407850964785,-0.08730158730158732
2021-03-13,64647,0.06086938509181676,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,133.0,107.0,105.78571428571429,0.04317548746518107,0.004067796610169427,0.15652173913043477
2021-03-14,64773,0.060988022345232526,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,126.0,112.28571428571429,106.92857142857143,0.04939919893190936,0.01080351114112088,-0.052631578947368474
2021-03-15,64857,0.0610671138475097,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,84.0,110.85714285714286,104.42857142857143,-0.012722646310432628,-0.023380093520374068,-0.33333333333333337
2021-03-16,64934,0.06113961439126378,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,77.0,109.71428571428571,102.5,-0.010309278350515538,-0.01846785225718195,-0.08333333333333337
2021-03-17,65053,0.061251660686156444,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,119.0,111.42857142857143,104.14285714285714,0.015625,0.016027874564459976,0.5454545454545454
2021-03-18,65157,0.061349583498499616,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,104.0,108.28571428571429,103.92857142857143,-0.028205128205128216,-0.002057613168724215,-0.12605042016806722
2021-03-19,65289,0.061473870144935175,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,132.0,110.71428571428571,106.64285714285714,0.0224274406332452,0.026116838487972416,0.26923076923076916
2021-03-20,65408,0.061585916439827845,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,119.0,108.71428571428571,107.85714285714286,-0.01806451612903226,0.011386470194239884,-0.09848484848484851
2021-03-21,65505,0.061677248293647916,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,97.0,104.57142857142857,108.42857142857143,-0.03810775295663593,0.005298013245033095,-0.18487394957983194
2021-03-22,65596,0.06176293075444819,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,91.0,105.57142857142857,108.21428571428571,0.0095628415300546,-0.0019762845849803368,-0.061855670103092786
2021-03-23,65686,0.06184767164974517,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,90.0,107.42857142857143,108.57142857142857,0.017591339648173276,0.0033003300330032292,-0.01098901098901095
2021-03-24,65825,0.06197854925470383,107268.161,161433.272,99833.734,197543.34600000002,494920.42600000004,1,139.0,110.28571428571429,110.85714285714286,0.02659574468085113,0.021052631578947434,0.5444444444444445
