date,cases,pct_pop,never,rarely,sometimes,frequently,always,order_code,daily_cases,rolling_avg_7,rolling_avg_14,pct_chg_7D_avg,pct_chg_14D_avg,pct_chg_daily,log_cases,log_daily,log_14D_avg,log_ravg,pct_chg_log,log_ravg_pct,Rail,Adjusted_Bus,Rail.1,Bus,ravg_rail,ravg_bus,fatal,injury,pdo,total,total_crash_7d,total_crash_14d
2021-03-02,63499,0.059788467894028675,107268.161,161433.272,99833.734,197543.346,494920.426,1,104.0,124.71428571428572,118.85714285714286,0.0011467889908256534,0.007874015748031482,-0.12605042016806722,11.058779436725285,0.001639163763236695,11.046565819016958,11.053233429351115,-0.1275863362588734,0.00017895355310759697,86000,154000,-0.87,-0.63,75571.42857142857,145000.0,0.0,9.0,11.0,20.0,19.571428571428573,20.142857142857142
2021-03-03,63595,0.059878858182345465,107268.161,161433.272,99833.734,197543.346,494920.426,1,96.0,118.28571428571428,118.07142857142857,-0.05154639175257725,-0.006610576923076983,-0.07692307692307687,11.060290129885585,0.0015106931603003915,11.048446989557489,11.055105628386558,-0.07837569730227889,0.0001693802132569644,91000,177000,-0.87,-0.59,76142.85714285714,147571.42857142858,0.0,10.0,19.0,29.0,20.571428571428573,20.5
2021-03-04,63702,0.05997960569119853,107268.161,161433.272,99833.734,197543.346,494920.426,1,107.0,115.14285714285714,115.5,-0.026570048309178862,-0.021778584392014518,0.11458333333333325,11.061971238241629,0.0016811083560437368,11.050283528513967,11.056924684183699,0.11280596233682516,0.00016454440674640303,87000,166000,-0.87,-0.61,76571.42857142857,147142.85714285713,0.0,4.0,11.0,15.0,20.142857142857142,20.071428571428573
2021-03-05,63796,0.0600681128485087,107268.161,161433.272,99833.734,197543.346,494920.426,1,94.0,108.14285714285714,111.57142857142857,-0.06079404466501238,-0.034013605442176915,-0.12149532710280375,11.063445771442645,0.0014745332010157597,11.05205417267579,11.058629957038107,-0.1228803332547368,0.00015422668627262937,88000,168000,-0.85,-0.57,77714.28571428571,148285.7142857143,0.0,10.0,21.0,31.0,20.714285714285715,21.285714285714285
2021-03-06,63898,0.06016415252984528,107268.161,161433.272,99833.734,197543.346,494920.426,1,102.0,104.57142857142857,111.57142857142857,-0.03302509907529716,0.0,0.0851063829787233,11.065043340971267,0.0015975695286218894,11.053821955102151,11.060275939935275,0.08344086624931468,0.00014884148430338584,56000,110000,-0.75,-0.46,78714.28571428571,150000.0,0.0,7.0,20.0,27.0,22.285714285714285,22.071428571428573
2021-03-07,63987,0.06024795185963895,107268.161,161433.272,99833.734,197543.346,494920.426,1,89.0,101.57142857142857,110.78571428571428,-0.02868852459016391,-0.007042253521126641,-0.12745098039215685,11.066435216709133,0.001391875737866144,11.055574662647208,11.061872200991084,-0.12875420259998516,0.00014432380028117642,38000,85000,-0.78,-0.46,79428.57142857143,151428.57142857142,0.0,5.0,14.0,19.0,22.571428571428573,22.071428571428573
2021-03-08,64081,0.060336459016949125,107268.161,161433.272,99833.734,197543.346,494920.426,1,94.0,98.0,111.28571428571428,-0.035161744022503494,0.0045132172791746425,0.056179775280898785,11.06790318711361,0.0014679704044766595,11.057332764010388,11.063409760155594,0.05467058914840672,0.00013899628711788736,83000,155000,-0.86,-0.62,80142.85714285714,152000.0,0.0,7.0,10.0,17.0,22.571428571428573,21.571428571428573
2021-03-09,64166,0.0604164920847296,107268.161,161433.272,99833.734,197543.346,494920.426,1,85.0,95.28571428571428,110.0,-0.027696793002915387,-0.011553273427471145,-0.0957446808510638,11.069228754377503,0.0013255672638941007,11.05906797458567,11.064902519820196,-0.09700681985705728,0.00013492763053735146,90000,172000,-0.85,-0.57,80571.42857142857,153714.2857142857,0.0,8.0,12.0,20.0,22.571428571428573,21.071428571428573
2021-03-10,64273,0.060517239593582677,107268.161,161433.272,99833.734,197543.346,494920.426,1,107.0,96.85714285714286,107.57142857142857,0.016491754122938573,-0.02207792207792214,0.2588235294117647,11.070894915352808,0.001666160975304365,11.06076155877962,11.066417489172656,0.25694185477220266,0.00013691664700576922,94000,174000,-0.84,-0.56,80285.71428571429,152142.85714285713,0.0,4.0,15.0,19.0,21.142857142857142,20.857142857142858
2021-03-11,64399,0.06063587684699843,107268.161,161433.272,99833.734,197543.346,494920.426,1,126.0,99.57142857142857,107.35714285714286,0.028023598820059004,-0.0019920318725099584,0.17757009345794386,11.072853384021574,0.0019584686687661446,11.06244838280533,11.067972081426934,0.17543784651923122,0.0001404783667162679,95000,174000,-0.81,-0.53,80571.42857142857,152285.7142857143,1.0,8.0,23.0,32.0,23.571428571428573,21.857142857142858
2021-03-12,64514,0.0607441568798779,107268.161,161433.272,99833.734,197543.346,494920.426,1,115.0,102.57142857142857,105.35714285714286,0.03012912482065988,-0.018629407850964785,-0.08730158730158732,11.074637533494561,0.0017841494729875507,11.064100430807672,11.069570904577208,-0.08900790630897193,0.00014445493162718037,95000,180000,-0.74,-0.47,79285.71428571429,149142.85714285713,0.0,9.0,15.0,24.0,22.571428571428573,21.642857142857142
2021-03-13,64647,0.06086938509181676,107268.161,161433.272,99833.734,197543.346,494920.426,1,133.0,107.0,105.78571428571428,0.043175487465181066,0.004067796610169427,0.15652173913043474,11.076696979411022,0.002059445916460234,11.065755825001952,11.071235710068603,0.154301221753411,0.00015039476288158937,61000,120000,-0.41,-0.28,79285.71428571429,148571.42857142858,0.0,2.0,17.0,19.0,21.428571428571427,21.857142857142858
2021-03-14,64773,0.060988022345232526,107268.161,161433.272,99833.734,197543.346,494920.426,1,126.0,112.28571428571428,106.92857142857143,0.04939919893190936,0.010803511141120879,-0.05263157894736848,11.078644128844024,0.0019471494330023376,11.067426020682348,11.072979840373586,-0.05452752245657955,0.0001575370943820431,43000,89000,-0.33,-0.3,79714.28571428571,149285.7142857143,0.0,4.0,10.0,14.0,20.714285714285715,21.642857142857142
2021-03-15,64857,0.0610671138475097,107268.161,161433.272,99833.734,197543.346,494920.426,1,84.0,110.85714285714286,104.42857142857143,-0.012722646310432628,-0.023380093520374068,-0.33333333333333337,11.079940125322574,0.0012959964785501654,11.069054581565242,11.074699402974867,-0.3344134473788949,0.00015529357282950684,86000,167000,-0.56,-0.08,80428.57142857143,150142.85714285713,1.0,6.0,13.0,20.0,21.142857142857142,21.857142857142858
